[Sat Apr 27 21:19:59 2013] [error] [client 127.0.0.22] Directory index forbidden by Options directive: D:/usr/local/projects/ykbsdp/gul/
[Sat Apr 27 21:19:59 2013] [error] [client 127.0.0.22] File does not exist: D:/usr/local/projects/ykbsdp/gul/favicon.ico
[Mon May 13 09:37:59 2013] [error] [client 127.0.0.22] Directory index forbidden by Options directive: D:/usr/local/projects/ykbsdp/gul/
[Mon May 13 09:37:59 2013] [error] [client 127.0.0.22] File does not exist: D:/usr/local/projects/ykbsdp/gul/favicon.ico
[Mon May 13 09:37:59 2013] [error] [client 127.0.0.22] File does not exist: D:/usr/local/projects/ykbsdp/gul/favicon.ico
[Wed May 15 18:08:52 2013] [error] [client 127.0.0.22] PHP Fatal error:  Call to undefined method Model_Brands::countRecords() in D:\\usr\\local\\projects\\ykbsdp\\gul\\application\\classes\\controller\\frontcontroller.php on line 11
[Wed May 15 18:11:15 2013] [error] [client 127.0.0.22] PHP Fatal error:  Call to protected method Model_Common::countRecords() from context 'Controller_Frontcontroller' in D:\\usr\\local\\projects\\ykbsdp\\gul\\application\\classes\\controller\\frontcontroller.php on line 11
[Thu May 16 09:50:38 2013] [error] [client 127.0.0.22] PHP Fatal error:  Class Controller_Admin_Main contains 2 abstract methods and must therefore be declared abstract or implement the remaining methods (Controller_Admin_Common::prepareMainData, Controller_Admin_Common::action_update) in D:\\usr\\local\\projects\\ykbsdp\\gul\\application\\classes\\controller\\admin\\main.php on line 5
[Thu May 16 09:53:11 2013] [error] [client 127.0.0.22] PHP Fatal error:  Class 'Controller_Admin_Common' not found in D:\\usr\\local\\projects\\ykbsdp\\gul\\application\\classes\\controller\\admin\\main.php on line 5
[Thu May 16 09:56:16 2013] [error] [client 127.0.0.22] PHP Fatal error:  Class 'Model_Clients' not found in D:\\usr\\local\\projects\\ykbsdp\\gul\\system\\classes\\kohana\\model.php on line 26, referer: http://gul.test/admin
[Thu May 16 18:23:35 2013] [error] [client 127.0.0.22] PHP Fatal error:  Call to undefined method Controller_Admin_Common::action_index() in D:\\usr\\local\\projects\\ykbsdp\\gul\\application\\classes\\controller\\brands.php on line 11
[Fri May 17 09:33:39 2013] [error] [client 127.0.0.22] PHP Fatal error:  Call to undefined method Controller_Admin_Common::action_index() in D:\\usr\\local\\projects\\ykbsdp\\gul\\application\\classes\\controller\\brands.php on line 11
[Fri May 17 09:33:53 2013] [error] [client 127.0.0.22] PHP Parse error:  parse error, expecting `'}'' in D:\\usr\\local\\projects\\ykbsdp\\gul\\application\\views\\admin\\fueltypes\\index.php on line 24, referer: http://gul.test/admin
[Fri May 17 10:03:20 2013] [error] [client 127.0.0.22] PHP Parse error:  parse error, expecting `'}'' in D:\\usr\\local\\projects\\ykbsdp\\gul\\application\\views\\admin\\carcasstypes\\index.php on line 25
[Sat May 18 13:33:08 2013] [error] [client 127.0.0.22] PHP Fatal error:  Can't use method return value in write context in D:\\usr\\local\\projects\\ykbsdp\\gul\\application\\classes\\controller\\admin\\modelsman.php on line 18, referer: http://gul.test/admin/brands
[Sat May 18 13:33:13 2013] [error] [client 127.0.0.22] PHP Fatal error:  Can't use method return value in write context in D:\\usr\\local\\projects\\ykbsdp\\gul\\application\\classes\\controller\\admin\\modelsman.php on line 18, referer: http://gul.test/admin/brands
[Sat Jun 01 13:08:47 2013] [error] [client 127.0.0.22] PHP Fatal error:  Call to undefined method Controller_Admin_Common::action_index() in D:\\usr\\local\\projects\\ykbsdp\\gul\\application\\classes\\controller\\brands.php on line 11
[Tue Jun 11 08:51:15 2013] [error] [client 127.0.0.22] PHP Fatal error:  Call to undefined method Controller_Admin_Common::action_index() in D:\\usr\\local\\projects\\ykbsdp\\gul\\application\\classes\\controller\\brands.php on line 11
[Tue Jun 11 09:48:24 2013] [error] [client 127.0.0.22] PHP Fatal error:  Class Controller_Admin_Ordersman contains 2 abstract methods and must therefore be declared abstract or implement the remaining methods (Controller_Admin_Commonentity::prepareMainData, Controller_Admin_Commonentity::action_update) in D:\\usr\\local\\projects\\ykbsdp\\gul\\application\\classes\\controller\\admin\\ordersman.php on line 5, referer: http://gul.test/admin/brands
[Tue Jun 11 09:49:11 2013] [error] [client 127.0.0.22] PHP Fatal error:  Class Controller_Admin_Ordersman contains 1 abstract method and must therefore be declared abstract or implement the remaining methods (Controller_Admin_Commonentity::action_update) in D:\\usr\\local\\projects\\ykbsdp\\gul\\application\\classes\\controller\\admin\\ordersman.php on line 5, referer: http://gul.test/admin/brands
[Tue Jun 11 10:14:31 2013] [error] [client 127.0.0.22] PHP Fatal error:  Class 'Model_' not found in D:\\usr\\local\\projects\\ykbsdp\\gul\\system\\classes\\kohana\\model.php on line 26
[Tue Jun 11 10:49:00 2013] [error] [client 127.0.0.22] PHP Fatal error:  Call to undefined method Model_Orders::registerOrder() in D:\\usr\\local\\projects\\ykbsdp\\gul\\application\\classes\\controller\\orders.php on line 48, referer: http://gul.test/orders/new
